Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s)
2.1434575,-0.314197361,-8.422359467,3.527433157,9.136610074
2.1534465,0.144540623,-8.152626991,3.885935783,9.032536508
2.1634355,0.256631672,-7.579645634,3.699271441,8.438097946
2.1734245,0.18833971,-6.448935509,2.962039232,7.099149066
2.1834135,-0.016422223,-5.283977985,1.724090457,5.558163451
2.1934025,-0.526215434,-4.135422707,0.153281108,4.17158468
2.2033915,-0.851945341,-2.678669453,-1.546378255,3.208171848
2.2133805,-0.687418163,-1.022468686,-2.758423567,3.021073736
2.2233695,-0.023873679,0.726340353,-3.337186813,3.415399843
2.2333585,1.101491928,2.584997416,-3.70793891,4.652344255
2.2433475,2.412357807,4.328868866,-4.07433939,6.4155138
2.2533365,3.633997679,5.834329128,-4.400877476,8.161682306
2.2633265,4.675880909,7.321232319,-4.753125191,9.902348409
2.2733155,5.367334366,9.125562668,-5.034957886,11.72326632
2.2833045,5.572209835,10.97186279,-4.982950211,13.27633565
2.2932935,5.630165577,12.33680058,-5.118546009,14.49465164
2.3032825,5.584412098,13.36577702,-5.206988811,15.392933
2.3132715,5.334218979,13.92903805,-5.105971813,15.76524472
2.3232605,4.584827423,13.76664066,-4.950657368,15.33134195
2.3332495,3.503463268,13.50038147,-4.885694504,14.77851703
2.3432385,2.270002842,13.69029713,-5.004255295,14.75193951
2.3532275,1.305526376,14.16718388,-5.425654411,15.22666161
2.3632165,0.715632319,14.67356491,-5.856134415,15.81518091
2.3732055,0.624909103,14.82715034,-6.050933361,16.02649972
2.3831945,1.113510251,14.45955086,-5.851081848,15.63821201
2.3931835,1.669909835,13.70829487,-5.166042805,14.74428517
2.4031725,1.920231819,13.02142239,-4.446676254,13.8930796
2.4131615,1.830816507,12.83504486,-4.144343853,13.6112399
2.4231505,1.649094105,12.86615753,-4.144598484,13.61746003
2.4331395,1.547939062,12.89613533,-4.087012768,13.61653756
2.4431285,1.507908702,12.62325191,-3.757707596,13.25672071
2.4531175,1.548946381,11.81821442,-3.274859667,12.36099238
2.4631065,1.655801296,10.45715046,-2.768356323,10.94337564
2.4730955,1.791054726,8.543077469,-2.218884945,9.006414385
2.4830845,1.821824431,6.30847311,-1.710060239,6.785291686
2.4930735,1.611680746,4.370998859,-0.994487464,4.763627942
2.5030625,1.354902864,2.52568078,0.114402942,2.868433929
2.5130515,0.97111392,0.555762231,1.411924124,1.801517037
2.5230405,0.180249006,-0.906841695,2.371188641,2.545071145
2.5330295,-0.861106098,-1.506570697,2.559353828,3.09217577
2.5430185,-1.905826807,-1.367727399,2.01376462,3.091618023
2.5530085,-2.67577529,-0.678927481,1.0866189,2.966724888
2.5629975,-2.943066835,0.045509893,0.134543106,2.946492049
2.5729865,-2.490474939,0.024533769,-0.661038697,2.576827407
2.5829755,-1.416974425,-1.056041956,-1.01651001,2.03870884
2.592965,-0.155958816,-3.525349855,-0.648876548,3.5879598
2.602954,0.621869564,-6.689991474,0.436164081,6.732974587
2.612943,1.017531753,-9.807057381,2.421835899,10.15278457
2.622932,1.110918164,-12.01686859,4.659016609,12.93621682
2.632921,0.987237513,-12.97242165,6.306118965,14.45771412
2.64291,0.652036428,-13.00090504,7.166044712,14.85937011
2.652899,0.088622838,-12.86858463,7.260675907,14.77584986
2.662888,-0.70361644,-12.79804325,6.99341011,14.60112229
2.672877,-1.551257014,-12.45774078,6.690741062,14.22560086
2.682866,-2.304389477,-12.44373798,6.402246952,14.18258058
2.692855,-2.878159046,-13.06072235,6.336853027,14.799391
2.702844,-2.998797894,-13.87751961,6.459979534,15.59838693
2.712833,-2.510780334,-14.82695866,6.528254032,16.39392636
2.722822,-1.70010972,-15.82369137,6.586942673,17.2240354
2.732811,-0.929896593,-16.19467735,6.801174641,17.589436
2.7428,-0.380122274,-16.03408813,7.137433529,17.55504009
2.752789,-0.155146152,-15.75398254,7.549139023,17.47001821
2.762778,-0.076980606,-14.98802376,7.898532867,16.9420661
2.772767,-0.02351472,-13.40392208,7.84185648,15.52933975
2.782756,-0.164959818,-11.22339153,7.242140293,13.35815576
2.792745,-0.440808684,-8.470927238,6.145195961,10.47446199
2.802734,-0.748368144,-5.355629444,4.604283333,7.102270526
2.812724,-1.049326062,-2.475508451,2.923181772,3.971677096
2.822713,-1.203266621,-0.217107177,1.434157968,1.884620695
2.832702,-1.159355879,1.085628152,0.16560562,1.59690944
2.842691,-0.929893315,1.767865896,-0.900902092,2.191272686
2.85268,-0.649618804,2.375716925,-1.719483137,3.003773919
2.862669,-0.456462145,3.145023584,-2.471084118,4.025641285
2.872658,-0.382606566,4.230510235,-3.297692299,5.37758116
2.882647,-0.37814483,5.640628815,-4.219756603,7.054504428
2.892636,-0.385570258,7.54888773,-5.12601757,9.132930883
2.902625,-0.26325959,9.857194901,-5.931191444,11.50706865
2.912614,0.137259305,12.24458027,-6.539478779,13.88212407
2.922603,0.739051938,14.33025932,-6.903228283,15.92347609
2.932592,1.326610446,16.05712318,-7.041178703,17.58321068
2.942581,1.761342883,17.52097321,-7.074416637,18.97720215
2.95257,1.909698606,18.58227921,-7.115681171,19.98952145
2.962559,1.756937265,19.27220345,-7.184343338,20.64266076
